year,Strategy,SPY
2008-12-31,-0.0999158368077232,-0.28505152605903616
2009-12-31,0.22506416856543332,0.2635184129988184
2010-12-31,0.17359876443866873,0.1505614854423829
2011-12-31,0.2786704315727391,0.018949607586826067
2012-12-31,-0.03736915529237361,0.15990330468008418
2013-12-31,0.2006132772688094,0.32307789865949244
2014-12-31,0.0878290514318949,0.13463802308634554
2015-12-31,-0.12886053723374613,0.012342653235452916
2016-12-31,-0.050837457009805576,0.11997903755085715
2017-12-31,0.224913824440518,0.21705394895076058
2018-12-31,-0.022516638218945673,-0.04568977886567149
2019-12-31,0.07748495157439739,0.3122383908497517
2020-12-31,0.38134413201090944,0.1833163641901301
2021-12-31,0.16581906260279844,0.28728749380815466
2022-12-31,-0.0953661712900098,-0.18175362536271666
2023-12-31,0.16593685966394678,0.26175805052516243
2024-12-31,0.05162443823615481,0.24886446555007558
2025-12-31,0.25820842303119473,0.17719067981214365
2026-12-31,0.13626043534592647,0.1116512441561015
