lookback_days,top_n,full_cagr,full_sharpe,full_max_drawdown,in_sample_cagr,oos_cagr,oos_sharpe,oos_max_drawdown
63,1,0.07538599179981587,0.38317052910459326,-0.5498600630469814,0.03297853946146034,0.12376254664873754,0.5346879113282945,-0.2123338364351638
63,2,0.07907264999427954,0.464998966629276,-0.3766777302779457,0.06868127242716482,0.09055334543401505,0.4557665720595033,-0.2076650730285542
63,3,0.10012658558790055,0.6318339877834028,-0.30754278452579353,0.08164681992097922,0.12069944694827095,0.6672492980685748,-0.20924991009293004
63,4,0.08958383959738936,0.5888049844192755,-0.30754278452579364,0.07139437826876693,0.1098312750311854,0.6344913842652252,-0.20924991009293026
126,1,0.035159106506033044,0.20934682650748673,-0.49522299790094204,0.011268944947766313,0.061934254657100896,0.2683684386023153,-0.45725079626274856
126,2,0.05789786761751148,0.34240553509076777,-0.2821821328151597,0.05661700446601903,0.05930051631303135,0.27690354305498455,-0.2821821328151597
126,3,0.07042804541516046,0.44064208102602753,-0.2930393914249855,0.07626159758246542,0.06408412637627303,0.31789213950343315,-0.2930393914249855
126,4,0.09210599568767575,0.6088467266524712,-0.28367283232931406,0.0943090133915716,0.0897016483981723,0.49425806380396975,-0.28367283232931406
189,1,0.05193667315563366,0.2886067502684859,-0.39438821338753527,-0.017149342685313207,0.13306752538493782,0.5717134926663284,-0.292531493654385
189,2,0.07060875235549835,0.4260527463999749,-0.27921544384646835,0.01738772998012683,0.13200891160636208,0.6660876245174899,-0.26785048841861603
189,3,0.07559398643311965,0.48159776269515325,-0.28878368161745194,0.050731891904337356,0.10345951468356152,0.5462523938952969,-0.28878368161745194
189,4,0.0751532006331197,0.4899591644718856,-0.30128675828978757,0.049748875063072795,0.10364215514566832,0.5690789008792126,-0.30128675828978757
252,1,0.08145972583488015,0.42800932013888937,-0.4329489369083065,0.027592824002018013,0.1436117706471003,0.6145899976326349,-0.3101103576201061
252,2,0.06521886113828357,0.39877893544804816,-0.31691433293603277,0.03400324493779472,0.10043911582888132,0.5076808589247238,-0.307311725897932
252,3,0.06436332750865725,0.414459120549042,-0.29013045627527423,0.05555698392664965,0.07407890237697412,0.3784022650697092,-0.29013045627527423
252,4,0.0822131635461536,0.5528694315811168,-0.2781901208324852,0.07364715482808593,0.09166001377032651,0.5043001819180076,-0.2781901208324852
